###Voxels where average accuracy is 59% or greater 
###Total Voxels = 209 
###Parameters used: c=3, gamma=0.005 

Voxel#		Accuracy 

1104		68.27
960		68.27
1313		68.27
621		67.31
1733		67.31
2107		67.31
2112		67.31
1125		67.31
2307		66.35
614		66.35
794		66.35
888		66.35
1112		66.35
1734		66.35
2033		66.35
2300		66.35
1309		65.38
321		65.38
396		65.38
502		65.38
632		65.38
707		65.38
1142		65.38
1148		65.38
1499		65.38
1933		65.38
2110		65.38
152		64.42
757		64.42
894		64.42
1942		64.42
2260		64.42
2362		64.42
615		64.42
1000		64.42
1086		64.42
1103		64.42
1132		64.42
1289		64.42
2091		64.42
2106		64.42
1880		63.46
2430		63.46
39		63.46
178		63.46
387		63.46
481		63.46
831		63.46
858		63.46
972		63.46
1011		63.46
1126		63.46
1551		63.46
1869		63.46
2038		63.46
2179		63.46
2197		63.46
2273		63.46
519		62.50
535		62.50
622		62.50
713		62.50
854		62.50
902		62.50
1018		62.50
1055		62.50
1257		62.50
1294		62.50
1953		62.50
2003		62.50
2095		62.50
2212		62.50
155		62.50
51		61.54
53		61.54
60		61.54
116		61.54
168		61.54
288		61.54
301		61.54
550		61.54
584		61.54
680		61.54
742		61.54
822		61.54
823		61.54
1004		61.54
1006		61.54
1051		61.54
1110		61.54
1128		61.54
1150		61.54
1231		61.54
1283		61.54
1297		61.54
1418		61.54
1508		61.54
1540		61.54
1700		61.54
1845		61.54
1887		61.54
2114		61.54
2143		61.54
2189		61.54
2250		61.54
293		61.54
741		61.54
750		61.54
980		61.54
1081		61.54
1463		61.54
1901		61.54
2217		61.54
72		60.58
257		60.58
548		60.58
1014		60.58
1117		60.58
1468		60.58
1537		60.58
1552		60.58
1625		60.58
1851		60.58
87		60.58
286		60.58
408		60.58
409		60.58
520		60.58
585		60.58
631		60.58
634		60.58
636		60.58
837		60.58
914		60.58
929		60.58
944		60.58
945		60.58
1008		60.58
1123		60.58
1302		60.58
1303		60.58
1318		60.58
1321		60.58
1404		60.58
1444		60.58
1454		60.58
1550		60.58
1960		60.58
2080		60.58
2111		60.58
2118		60.58
2121		60.58
2242		60.58
2315		60.58
2432		60.58
1401		59.62
344		59.62
356		59.62
407		59.62
413		59.62
426		59.62
533		59.62
534		59.62
544		59.62
590		59.62
601		59.62
667		59.62
687		59.62
734		59.62
804		59.62
812		59.62
816		59.62
843		59.62
903		59.62
940		59.62
963		59.62
1027		59.62
1063		59.62
1096		59.62
1197		59.62
1204		59.62
1219		59.62
1268		59.62
1286		59.62
1293		59.62
1304		59.62
1322		59.62
1525		59.62
1598		59.62
1618		59.62
1722		59.62
1817		59.62
1862		59.62
1928		59.62
1944		59.62
1946		59.62
1975		59.62
2060		59.62
2123		59.62
2166		59.62
2191		59.62
2204		59.62
2290		59.62
2304		59.62
2310		59.62
2422		59.62
84		59.62
2391		59.62
2436		59.62
